19/6/2017-14:31:9;1;aluno24;1497897069713;click;questionario.html#;Q:18:H:1-2:B;input;220;532
19/6/2017-14:31:11;1;aluno24;1497897071506;click;questionario.html#;Q:14:H:1-2 list-group-item;a;133;668
19/6/2017-14:31:15;1;aluno24;1497897075744;click;questionario.html#;Q:19:H:1-2 list-group-item;a;120;636
19/6/2017-14:32:8;1;aluno24;1497897127910;click;questionario.html#;Q:19:H:1-2:A;input;221;300
19/6/2017-14:32:9;1;aluno24;1497897129736;click;questionario.html#;Q:12:H:1-2 list-group-item;a;164;603
19/6/2017-14:32:15;1;aluno24;1497897135180;click;questionario.html#;Q:20:H:1-2 list-group-item;a;114;433
19/6/2017-14:34:8;1;aluno24;1497897248314;click;questionario.html#;D:20:H:1-2 btn btn-info btn-lg;button;257;397
19/6/2017-14:36:9;1;aluno24;1497897369541;click;questionario.html#;Q:21:H:1-2:E;input;220;357
19/6/2017-14:36:11;1;aluno24;1497897371486;click;questionario.html#;Q:14:H:1-2 list-group-item;a;139;692
19/6/2017-14:36:17;1;aluno24;1497897377333;click;questionario.html#;Q:17:H:1-2 list-group-item;a;116;329
19/6/2017-14:36:19;1;aluno24;1497897379546;click;questionario.html#;Q:6:H:1-1 list-group-item;a;117;329
19/6/2017-14:36:20;1;aluno24;1497897379773;click;questionario.html#;Q:6:H:1-1 list-group-item;a;117;329
19/6/2017-14:36:28;1;aluno24;1497897388583;click;questionario.html#;Q:22:H:1-2 list-group-item;a;118;214
19/6/2017-14:38:22;1;aluno24;1497897502706;click;questionario.html#;Q:4:H:1-1 list-group-item;a;127;265
19/6/2017-14:39:7;1;aluno24;1497897547066;click;questionario.html#;Q:4:H:1-2:C;input;219;432
19/6/2017-14:39:11;1;aluno24;1497897551137;click;questionario.html#;Q:5:H:1-1 list-group-item;a;157;309
19/6/2017-14:39:13;1;aluno24;1497897553024;click;questionario.html#;Q:1:H:1-1 list-group-item;a;147;154
19/6/2017-14:39:14;1;aluno24;1497897553967;click;questionario.html#;Q:2:H:1-1 list-group-item;a;144;181
19/6/2017-14:39:15;1;aluno24;1497897555674;click;questionario.html#;Q:3:H:1-1 list-group-item;a;140;235
19/6/2017-14:39:17;1;aluno24;1497897557149;click;questionario.html#;Q:4:H:1-1 list-group-item;a;138;265
19/6/2017-14:39:18;1;aluno24;1497897558195;click;questionario.html#;Q:5:H:1-1 list-group-item;a;137;297
19/6/2017-14:41:25;1;aluno24;1497897679930;click;questionario.html#;Q:5:H:1-2:E;input;221;557
19/6/2017-14:41:24;1;aluno24;1497897681955;click;questionario.html#;Q:6:H:1-1 list-group-item;a;130;351
19/6/2017-14:41:28;1;aluno24;1497897686964;click;questionario.html#;Q:8:H:1-2 list-group-item;a;130;79
19/6/2017-14:41:32;1;aluno24;1497897690271;click;questionario.html#;Q:7:H:1-1 list-group-item;a;98;387
19/6/2017-14:43:30;1;aluno24;1497897809822;click;questionario.html#;D:7:H:1-2 btn btn-info btn-lg;button;251;551
19/6/2017-14:44:0;1;aluno24;1497897840479;click;questionario.html#;Q:7:H:1-2 btn btn-info btn-lg;div;397;524
19/6/2017-14:44:10;1;aluno24;1497897850193;click;questionario.html#;Q:7:H:1-2:A;input;223;407
19/6/2017-14:44:13;1;aluno24;1497897853036;click;questionario.html#;Q:8:H:1-2 list-group-item;a;152;439
19/6/2017-14:46:20;1;aluno24;1497897980516;click;questionario.html#;D:8:H:1-2 btn btn-info btn-lg;button;287;533
19/6/2017-14:46:37;1;aluno24;1497897996828;click;questionario.html#;Q:8:H:1-2 btn btn-info btn-lg;div;305;582
19/6/2017-14:46:40;1;aluno24;1497898000524;click;questionario.html#;C:8:H:1-2 btn btn-info btn-lg;button;510;528
19/6/2017-14:47:3;1;aluno24;1497898023417;click;questionario.html#;C:8:H:1-2 close;button;1113;119
19/6/2017-14:47:11;1;aluno24;1497898031081;click;questionario.html#;Q:8:H:1-2:C;input;219;364
19/6/2017-14:47:14;1;aluno24;1497898033957;click;questionario.html#;Q:9:H:1-2 list-group-item;a;141;464
19/6/2017-14:47:32;1;aluno24;1497898052451;click;questionario.html#;Q:11:H:1-2 list-group-item;a;122;557
19/6/2017-14:47:34;1;aluno24;1497898054205;click;questionario.html#;Q:10:H:1-2 list-group-item;a;121;525
19/6/2017-14:47:35;1;aluno24;1497898055784;click;questionario.html#;Q:8:H:1-2 list-group-item;a;119;431
19/6/2017-14:47:37;1;aluno24;1497898057527;click;questionario.html#;Q:9:H:1-2 list-group-item;a;115;468
19/6/2017-14:51:32;1;aluno24;1497898292506;click;questionario.html#;Q:9:H:1-2:E;input;220;585
19/6/2017-14:51:35;1;aluno24;1497898295009;click;questionario.html#;Q:10:H:1-2 list-group-item;a;121;508
19/6/2017-14:51:57;1;aluno24;1497898317353;click;questionario.html#;Q:10:H:1-2:A;input;221;471
19/6/2017-14:51:58;1;aluno24;1497898318797;click;questionario.html#;Q:11:H:1-2 list-group-item;a;152;545
19/6/2017-14:52:0;1;aluno24;1497898320365;click;questionario.html#;Q:12:H:1-2 list-group-item;a;143;596
19/6/2017-14:52:2;1;aluno24;1497898322444;click;questionario.html#;Q:13:H:1-2 list-group-item;a;143;631
19/6/2017-14:52:4;1;aluno24;1497898323975;click;questionario.html#;Q:12:H:1-2 list-group-item;a;141;595
19/6/2017-14:53:5;1;aluno24;1497898385693;click;questionario.html#;Q:12:H:1-2:E;input;218;633
19/6/2017-14:53:8;1;aluno24;1497898387949;click;questionario.html#;Q:13:H:1-2 list-group-item;a;139;647
19/6/2017-14:53:9;1;aluno24;1497898388870;click;questionario.html#;Q:14:H:1-2 list-group-item;a;139;666
19/6/2017-14:53:13;1;aluno24;1497898392978;click;questionario.html#;Q:15:H:1-2 list-group-item;a;122;518
19/6/2017-14:53:14;1;aluno24;1497898394480;click;questionario.html#;Q:11:H:1-2 list-group-item;a;122;551
19/6/2017-14:53:19;1;aluno24;1497898399219;click;questionario.html#;Q:17:H:1-2 list-group-item;a;117;279
