aluno,questao,timestamp,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,emotion
3,Q3,9:06:20,0.0327400267,0.959979057,0.00233155023,0.0008961998,9.243304e-05,0.00283993152,0.000113464725,0.00100732478,neutral
3,Q3,9:07:08,0.0125012239,0.719213,0.000351178722,0.005986215,0.002959861,0.257898152,0.0008962379,0.000194143227,neutral
3,Q3,9:07:10,0.0110310968,0.9743241,0.000522503,0.0004318437,0.000151241373,0.0130259525,9.197886e-05,0.0004213005,neutral
3,Q3,9:07:12,0.0344051644,0.964832544,0.000361581915,4.516484e-05,1.19220176e-05,0.00026246882,5.575239e-06,7.55812143e-05,neutral
3,Q3,9:07:14,0.007907341,0.9918757,0.000113918388,4.9899827e-06,1.26659108e-06,6.32074662e-05,1.081725e-06,3.25018664e-05,neutral
3,Q3,9:07:16,0.0034717212,0.994719446,0.000920162,9.463762e-06,2.366087e-06,0.000197169618,1.556799e-06,0.0006781226,neutral
3,Q3,9:07:18,0.017454477,0.9812528,0.0009884494,1.45636695e-05,2.00753834e-06,0.000265900075,1.81537973e-06,2.0022735e-05,neutral
3,Q3,9:07:20,0.008056339,0.9903921,0.0012910798,8.631249e-06,1.80123379e-06,0.000164599784,1.22765312e-06,8.423692e-05,neutral
3,Q3,9:07:22,0.01382503,0.983357549,0.00261035119,9.742595e-06,1.68098143e-06,0.000143337151,1.15104683e-06,5.11685175e-05,neutral
3,Q3,9:07:24,0.0221601129,0.974352062,0.00308503443,2.82329966e-05,6.07352376e-06,0.000190267558,2.65471317e-06,0.000175544672,neutral
3,Q3,9:07:26,0.0189043749,0.979152739,0.00162961776,1.69364412e-05,3.2007074e-06,0.000243934643,2.13497538e-06,4.706977e-05,neutral
3,Q3,9:07:28,0.0118845925,0.9846925,0.0019897928,6.6896624e-05,6.61977265e-06,0.00110009674,7.089095e-06,0.0002523877,neutral
3,Q3,9:07:30,0.004430161,0.8184216,0.0206870679,0.000187628379,3.467289e-05,0.000490156,4.645738e-06,0.155744076,neutral
3,Q3,9:07:32,0.016109651,0.979584455,0.00373556581,2.33619758e-05,2.09992459e-06,0.000302267174,1.28264e-06,0.000241323272,neutral
3,Q3,9:07:34,0.0160519816,0.9816283,0.00199468876,2.12376217e-05,3.38340669e-06,0.000211685183,2.748241e-06,8.595112e-05,neutral
3,Q3,9:07:36,0.0181173887,0.979989052,0.00150343659,2.3389015e-05,6.4525675e-06,0.000316735532,3.674375e-06,3.987669e-05,neutral
3,Q3,9:07:38,0.0442813076,0.9529268,0.00248512067,3.445109e-05,5.076847e-06,0.000222279981,3.76196363e-06,4.11887777e-05,neutral
3,Q3,9:07:40,0.0239077862,0.9747003,0.00122744113,1.41228156e-05,3.36129e-06,0.000133514943,1.38374764e-06,1.21429493e-05,neutral
3,Q3,9:07:42,0.0284469053,0.9690089,0.002302386,1.81731357e-05,4.321177e-06,0.000168471452,2.20337347e-06,4.858766e-05,neutral
3,Q3,9:07:44,0.0216517039,0.9760277,0.00221609627,8.31832949e-06,1.377009e-06,4.942429e-05,4.25879136e-07,4.49137769e-05,neutral
3,Q3,9:07:46,0.01654456,0.9821426,0.00112906063,1.32320056e-05,4.929307e-06,0.0001429118,2.152691e-06,2.05001525e-05,neutral
3,Q3,9:07:48,0.0183453262,0.980263948,0.00128476857,8.961562e-06,2.236819e-06,7.340212e-05,8.85769339e-07,2.04921434e-05,neutral
3,Q3,9:07:50,0.0221362617,0.976132035,0.00139930157,2.03861218e-05,4.20706647e-06,0.000273142825,4.733101e-06,2.99310141e-05,neutral
3,Q3,9:07:52,0.01507012,0.983973,0.000641708029,1.9892339e-05,5.30688749e-06,0.000121255558,3.33155413e-06,0.000165377656,neutral
3,Q3,9:07:54,0.0206677057,0.978314459,0.0006298832,2.02201627e-05,1.060983e-05,4.60069859e-05,1.6294365e-06,0.0003094561,neutral
3,Q3,9:07:56,0.0255640149,0.971736,0.00176044158,0.000109331813,6.47084162e-05,0.0001593231,5.26323356e-06,0.000600924832,neutral
3,Q3,9:07:58,0.0291135572,0.969884336,0.000590545242,6.229717e-05,4.06439176e-05,0.00016256838,4.94551e-06,0.00014113629,neutral
3,Q3,9:08:00,0.031317845,0.9654551,0.00173125276,0.0001244828,0.000112990194,0.0002732722,1.6734346e-05,0.0009683223,neutral
3,Q3,9:08:02,0.0203903839,0.977078855,0.00174632459,0.000122646554,0.000105165193,0.00017850686,6.37090352e-06,0.000371742353,neutral
3,Q3,9:08:04,0.0324508362,0.9633833,0.00203645718,0.000177177222,0.000102582613,0.000265594834,1.62238375e-05,0.00156783988,neutral
