13:37:17-Joeyramone-2017-06-19-13:38:24.png$[{"faceRectangle":{"height":163,"left":175,"top":146,"width":163},"scores":{"anger":6.329485E-05,"contempt":0.00740873767,"disgust":0.000186925245,"fear":2.55603E-06,"happiness":0.0230982415,"neutral":0.9495171,"sadness":0.0195831917,"surprise":0.000139989323}}]
13:37:19-Joeyramone-2017-06-19-13:37:40.png$[{"faceRectangle":{"height":169,"left":176,"top":138,"width":169},"scores":{"anger":5.887771E-05,"contempt":0.00173967355,"disgust":1.34499387E-05,"fear":2.87761372E-06,"happiness":0.006338508,"neutral":0.9911081,"sadness":0.000548812444,"surprise":0.000189667029}}]
13:37:21-Joeyramone-2017-06-19-13:38:35.png$[{"faceRectangle":{"height":160,"left":162,"top":144,"width":160},"scores":{"anger":5.962849E-09,"contempt":1.24785626E-09,"disgust":2.94532434E-08,"fear":2.19777733E-12,"happiness":0.99999994,"neutral":7.980695E-09,"sadness":1.96058544E-10,"surprise":7.93669963E-10}}]
13:37:23-Joeyramone-2017-06-19-13:38:54.png$[]
13:37:25-Joeyramone-2017-06-19-13:37:44.png$[{"faceRectangle":{"height":222,"left":169,"top":37,"width":222},"scores":{"anger":5.21260233E-07,"contempt":2.862249E-06,"disgust":1.77596382E-06,"fear":1.17020438E-08,"happiness":0.9997671,"neutral":0.000225046708,"sadness":4.24096925E-07,"surprise":2.251418E-06}}]
13:37:27-Joeyramone-2017-06-19-13:42:02.png$[]
13:37:29-Joeyramone-2017-06-19-13:38:07.png$[]
13:37:33-Joeyramone-2017-06-19-13:39:16.png$[{"faceRectangle":{"height":172,"left":236,"top":72,"width":172},"scores":{"anger":7.871932E-10,"contempt":2.84455015E-10,"disgust":1.114665E-09,"fear":1.12233981E-11,"happiness":0.9999999,"neutral":8.248967E-08,"sadness":2.670986E-09,"surprise":3.17359317E-09}}]
13:37:37-Joeyramone-2017-06-19-13:38:09.png$[{"faceRectangle":{"height":197,"left":312,"top":92,"width":197},"scores":{"anger":5.42006273E-05,"contempt":0.001775941,"disgust":0.00015550651,"fear":4.843355E-06,"happiness":0.955809355,"neutral":0.0419204645,"sadness":0.000195738336,"surprise":8.393412E-05}}]
13:37:39-Joeyramone-2017-06-19-13:38:53.png$[]
13:37:43-Joeyramone-2017-06-19-13:39:15.png$[{"faceRectangle":{"height":242,"left":206,"top":0,"width":270},"scores":{"anger":0.00150604523,"contempt":0.0114082415,"disgust":0.00167114683,"fear":0.000254036335,"happiness":0.0153337773,"neutral":0.919564843,"sadness":0.04911495,"surprise":0.0011469468}}]
13:37:45-Joeyramone-2017-06-19-13:58:51.png$[{"faceRectangle":{"height":234,"left":181,"top":0,"width":238},"scores":{"anger":0.000205032338,"contempt":0.00338655082,"disgust":8.275828E-05,"fear":9.250468E-06,"happiness":0.0024897668,"neutral":0.986360133,"sadness":0.00716439355,"surprise":0.000302113272}}]
13:37:47-Joeyramone-2017-06-19-13:39:34.png$[{"faceRectangle":{"height":221,"left":162,"top":27,"width":221},"scores":{"anger":1.32602554E-05,"contempt":0.00113581284,"disgust":0.0001633618,"fear":3.57334261E-06,"happiness":7.27924344E-05,"neutral":0.8909357,"sadness":0.107550457,"surprise":0.000125031132}}]
13:37:49-Joeyramone-2017-06-19-13:39:23.png$[{"faceRectangle":{"height":235,"left":125,"top":0,"width":252},"scores":{"anger":6.15913959E-05,"contempt":0.001410829,"disgust":3.28382157E-05,"fear":3.71510578E-06,"happiness":0.00102057378,"neutral":0.9884475,"sadness":0.008858299,"surprise":0.000164647383}}]
13:37:51-Joeyramone-2017-06-19-13:39:22.png$[{"faceRectangle":{"height":232,"left":171,"top":0,"width":248},"scores":{"anger":0.0006020468,"contempt":0.00400659861,"disgust":0.000226252931,"fear":0.000640692131,"happiness":0.00110134715,"neutral":0.968622446,"sadness":0.0211921576,"surprise":0.003608452}}]
13:37:53-Joeyramone-2017-06-19-13:39:28.png$[{"faceRectangle":{"height":210,"left":158,"top":0,"width":258},"scores":{"anger":0.136817083,"contempt":0.0247741379,"disgust":0.0330014341,"fear":0.08125808,"happiness":0.0063533294,"neutral":0.4726665,"sadness":0.111075521,"surprise":0.1340539}}]
13:37:55-Joeyramone-2017-06-19-13:39:31.png$[{"faceRectangle":{"height":207,"left":228,"top":41,"width":207},"scores":{"anger":0.00129931478,"contempt":0.008941305,"disgust":0.000479312235,"fear":5.7620764E-05,"happiness":0.00571959745,"neutral":0.975461543,"sadness":0.00717357872,"surprise":0.0008677022}}]
