3/6/2017-10:26:0;1;Brendo ;1496499960928;click;questionario.html#;Q:14:H:1-2:A;input;228;583
3/6/2017-10:26:2;1;Brendo ;1496499962723;click;questionario.html#;Q:15:H:1-2 list-group-item;a;96;787
3/6/2017-10:28:23;1;Brendo ;1496500103625;click;questionario.html#;;label;306;431
3/6/2017-10:28:23;1;Brendo ;1496500103640;click;questionario.html#;Q:15:H:1-2:C;input;306;431
3/6/2017-10:28:38;1;Brendo ;1496500118430;click;questionario.html#;Q:16:H:1-2 list-group-item;a;120;701
3/6/2017-10:30:11;1;Brendo ;1496500211774;click;questionario.html#;;label;293;455
3/6/2017-10:30:11;1;Brendo ;1496500211787;click;questionario.html#;Q:16:H:1-2:C;input;293;455
3/6/2017-10:30:24;1;Brendo ;1496500224626;click;questionario.html#;C:16:H:1-2 btn btn-info btn-lg;button;314;559
3/6/2017-10:31:3;1;Brendo ;1496500263884;click;questionario.html#;C:16:H:1-2 close;button;1148;188
3/6/2017-10:31:6;1;Brendo ;1496500266556;click;questionario.html#;;label;377;429
3/6/2017-10:31:6;1;Brendo ;1496500266568;click;questionario.html#;Q:16:H:1-2:B;input;377;429
3/6/2017-10:31:16;1;Brendo ;1496500276188;click;questionario.html#;Q:17:H:1-2 list-group-item;a;124;747
3/6/2017-10:32:47;1;Brendo ;1496500368004;click;questionario.html#;alternativas;div;223;370
3/6/2017-10:32:49;1;Brendo ;1496500369227;click;questionario.html#;Q:17:H:1-2:A;input;228;366
3/6/2017-10:32:53;1;Brendo ;1496500374008;click;questionario.html#;Q:18:H:1-2 list-group-item;a;145;728
3/6/2017-10:33:58;1;Brendo ;1496500438909;click;questionario.html#;Q:18:H:1-2:B;input;218;599
3/6/2017-10:34:4;1;Brendo ;1496500444395;click;questionario.html#;Q:19:H:1-2 list-group-item;a;140;774
3/6/2017-10:34:55;1;Brendo ;1496500496084;click;questionario.html#;Q:19:H:1-2:A;input;229;368
3/6/2017-10:35:13;1;Brendo ;1496500513963;click;questionario.html#;Q:20:H:1-2 list-group-item;a;135;811
3/6/2017-10:35:17;1;Brendo ;1496500517424;click;questionario.html#;Q:19:H:1-2 list-group-item;a;116;829
3/6/2017-10:35:20;1;Brendo ;1496500520107;click;questionario.html#;Q:20:H:1-2 list-group-item;a;118;821
