photo,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,aluno
8:07:27-aluno27-2017-06-19-08:07:28.png,0.03625081,0.934075,0.00209038379,0.0007397563,5.70481243e-05,0.004256703,8.735428e-05,0.0224429443,aluno27
8:07:33-aluno27-2017-06-19-08:07:34.png,0.0144148469,0.962875962,0.0008694243,0.000251952617,2.66776042e-05,0.0185939521,6.71355738e-05,0.00290006329,aluno27
8:07:35-aluno27-2017-06-19-08:07:36.png,0.02172628,0.9779354,0.000282666937,3.10239625e-06,9.579814e-06,2.775921e-05,1.625861e-06,1.35848177e-05,aluno27
8:07:37-aluno27-2017-06-19-08:07:38.png,0.01175432,0.9719596,0.000188587888,0.000120392979,0.000571472454,0.0136780338,0.00148102921,0.000246549753,aluno27
8:07:47-aluno27-2017-06-19-08:07:50.png,0.0311083272,0.9660863,0.0007631319,3.747711e-05,0.000135677779,0.00168415729,0.000111276247,7.364625e-05,aluno27
8:07:49-aluno27-2017-06-19-08:07:50.png,0.04626038,0.951524734,0.000881776854,4.456768e-05,0.00015355958,0.00095680746,0.000124768063,5.33869461e-05,aluno27
8:07:55-aluno27-2017-06-19-08:07:56.png,0.128505334,0.870538235,0.000715654052,2.93610137e-05,9.095379e-05,9.553681e-05,1.53963338e-05,9.502446e-06,aluno27
8:07:57-aluno27-2017-06-19-08:08:02.png,0.08433446,0.9124058,0.001743971,8.843457e-05,0.000554757135,0.0006284975,0.000193412881,5.065253e-05,aluno27
8:08:01-aluno27-2017-06-19-08:08:03.png,0.1904212,0.807019949,0.00178780453,7.425149e-05,0.000224173244,0.0003358833,9.0370726e-05,4.63841934e-05,aluno27
8:08:09-aluno27-2017-06-19-08:08:10.png,0.193395779,0.8021921,0.00305631571,0.000166831363,0.000623205036,0.000401548779,8.646715e-05,7.77405148e-05,aluno27
8:08:13-aluno27-2017-06-19-08:08:14.png,0.281358,0.7151785,0.002189781,0.000148459862,0.0006654258,0.000286352239,0.000116155345,5.730727e-05,aluno27
8:08:15-aluno27-2017-06-19-08:08:16.png,0.23680523,0.7602088,0.002182532,9.387199e-05,0.000386960077,0.000222700852,5.64100374e-05,4.34991853e-05,aluno27
8:08:17-aluno27-2017-06-19-08:08:18.png,0.102382153,0.8943801,0.00235480838,7.565247e-05,0.000504181255,0.000201831514,4.91168576e-05,5.21508664e-05,aluno27
8:08:25-aluno27-2017-06-19-08:08:26.png,0.0454236232,0.954097,8.080698e-05,1.2999305e-05,6.603855e-06,0.0003306896,2.76427854e-05,2.0660058e-05,aluno27
8:08:37-aluno27-2017-06-19-08:08:38.png,0.142111525,0.8574313,5.02019866e-05,1.41230867e-05,4.68020553e-05,0.00033829626,6.00782641e-06,1.77183313e-06,aluno27
8:08:39-aluno27-2017-06-19-08:08:40.png,0.4896896,0.510047138,4.594911e-05,1.97871236e-06,7.024855e-05,0.000119624288,2.52160971e-05,2.49094654e-07,aluno27
8:08:41-aluno27-2017-06-19-08:08:42.png,0.436814964,0.553048,0.00764564145,4.921632e-05,0.00228780485,5.34951869e-05,9.60832e-05,4.770016e-06,aluno27
8:08:45-aluno27-2017-06-19-08:08:46.png,0.487175822,0.511731148,0.000404657243,3.401677e-05,8.20525747e-05,0.000503195042,6.512868e-05,4.002981e-06,aluno27
8:08:47-aluno27-2017-06-19-08:08:48.png,0.346784621,0.6527798,0.000262397225,5.83416931e-06,7.99194e-05,7.656656e-05,7.16042769e-06,3.68872065e-06,aluno27
