photo,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,student
13:36:12-aluno1-2017-06-19-13:36:21.png,0.0234125424,0.4572063,0.00649455,0.007321969,0.00109093427,0.454068154,0.0190298334,0.03137573,aluno1
13:36:26-aluno1-2017-06-19-13:36:35.png,0.00127020827,0.4962644,0.00115829729,0.0009037999,7.55700239e-05,0.0196646582,6.05190653e-05,0.480602533,aluno1
13:36:28-aluno1-2017-06-19-13:36:39.png,0.0204332918,0.435578823,0.004690724,0.000725099759,0.000178829287,0.00515831076,0.000105046536,0.5331299,aluno1
13:36:30-aluno1-2017-06-19-13:36:44.png,0.0204411913,0.91263175,0.002381262,0.00144368876,0.000257206935,0.0135711217,0.000123203456,0.049150575,aluno1
13:36:46-aluno1-2017-06-19-13:36:52.png,0.158502251,0.743978739,0.00114394072,0.00207254523,0.00350975478,0.0782712549,0.00758787664,0.00493363757,aluno1
13:36:58-aluno1-2017-06-19-13:37:06.png,0.08317677,0.8850352,0.000807700562,0.000546113239,0.000378098368,0.00778215425,0.00212799129,0.0201459676,aluno1
13:37:10-aluno1-2017-06-19-13:37:26.png,7.56865757e-06,0.000103482518,3.932909e-06,3.05777066e-05,1.01047078e-06,3.56004716e-06,1.00617433e-06,0.999848843,aluno1
13:37:12-aluno1-2017-06-19-13:37:33.png,0.002223911,0.0310665611,0.000623520638,0.000207511534,0.00017225802,0.0031135208,0.0018223325,0.960770369,aluno1
13:37:16-aluno1-2017-06-19-13:37:25.png,0.337989241,0.6351039,0.00112408237,0.000146591687,4.65755256e-05,0.0231491718,0.00170780439,0.000732624438,aluno1
13:37:24-aluno1-2017-06-19-13:38:04.png,0.004683877,0.00210863724,3.75266573e-05,0.0177802052,0.05842216,0.005880604,0.00123612373,0.9098509,aluno1
13:37:26-aluno1-2017-06-19-13:37:34.png,0.000711918,1.29011187e-05,1.35759549e-07,0.00216783932,0.06742947,0.003839574,0.0007341469,0.925104,aluno1
13:37:28-aluno1-2017-06-19-13:37:36.png,0.000389872148,1.46648563e-05,9.8937e-08,0.000581234752,0.00685386267,0.0009627533,3.530641e-05,0.9911622,aluno1
13:37:34-aluno1-2017-06-19-13:37:43.png,0.04550164,0.9187548,0.0009529692,0.0008277132,0.0007567932,0.0189311467,0.00184712175,0.0124278115,aluno1
13:38:14-aluno1-2017-06-19-13:38:57.png,0.1485402,0.7547559,0.0004948632,1.99163969e-05,8.434387e-06,0.09550453,0.0005171345,0.0001590111,aluno1
13:39:24-aluno1-2017-06-19-13:39:54.png,0.00155139633,0.05291106,0.000216336077,0.00189346133,0.00284376158,0.9346682,0.00328200776,0.00263376418,aluno1
13:39:26-aluno1-2017-06-19-13:41:07.png,0.00265234639,0.666941047,0.00125321676,1.84490818e-05,3.18547245e-05,0.0187197067,0.0006204192,0.309762955,aluno1
13:39:28-aluno1-2017-06-19-13:41:17.png,0.005478192,0.876461,0.00155685085,0.000138083647,0.000136389048,0.0100325784,0.00029534215,0.105901547,aluno1
13:39:30-aluno1-2017-06-19-13:41:21.png,0.00132432312,0.0340134129,0.000112268666,3.704078e-05,6.5241843e-06,0.00384555035,7.097936e-05,0.9605899,aluno1
13:39:34-aluno1-2017-06-19-13:40:02.png,0.0119158048,0.7972308,0.0006782079,0.0003122103,0.0006106884,0.154320925,0.0152183976,0.019712992,aluno1
