photo,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,aluno
13:39:32-aluno13-2017-06-19-13:39:47.png,0.0102735069,0.986268,0.00318413228,7.282408e-07,6.507735e-06,0.0002527368,4.046421e-06,1.0370175e-05,aluno13
13:39:42-aluno13-2017-06-19-13:40:19.png,0.00364666758,0.9953898,0.0003317548,5.036722e-05,1.28453867e-05,0.000433454727,1.0206466e-05,0.00012489807,aluno13
13:39:44-aluno13-2017-06-19-13:39:48.png,0.058419358,0.7768543,0.106756926,0.008793942,0.0178081486,0.00454771938,0.00190786528,0.0249117613,aluno13
13:39:46-aluno13-2017-06-19-13:40:39.png,0.218631625,0.714171469,0.009341961,0.00144686212,0.005308967,0.00262625027,0.0008685789,0.0476042777,aluno13
13:39:48-aluno13-2017-06-19-13:39:50.png,0.135697559,0.434443831,0.102345228,0.009858753,0.00654218439,0.010871469,0.00307348859,0.29716748,aluno13
13:39:50-aluno13-2017-06-19-13:39:52.png,0.2580346,0.7279362,4.82742762e-05,3.26981512e-06,1.26625846e-05,0.0130600734,0.0008200935,8.48278e-05,aluno13
13:39:52-aluno13-2017-06-19-13:39:54.png,0.09761887,0.8915385,0.00494311471,0.00011778895,0.00019528874,0.00395164546,0.000885778456,0.000749012455,aluno13
13:39:54-aluno13-2017-06-19-13:40:09.png,0.0476903133,0.9470003,0.00131060649,4.370086e-06,2.52941572e-05,0.00341324788,0.000448804843,0.000107012405,aluno13
13:39:56-aluno13-2017-06-19-13:40:30.png,0.09429278,0.8372489,0.00162091223,0.000136408024,0.000328798051,0.05003145,0.0157324988,0.000608246832,aluno13
13:39:58-aluno13-2017-06-19-13:40:39.png,0.0550347455,0.9377859,0.000324561028,9.318306e-05,0.0006534802,0.00453631952,0.001527322,4.446658e-05,aluno13
13:40:00-aluno13-2017-06-19-13:40:18.png,0.0169270057,0.9674427,0.000342818443,5.5463388e-05,0.000422904617,0.0119217383,0.002507531,0.00037984777,aluno13
13:40:02-aluno13-2017-06-19-13:40:22.png,0.02049734,0.978659451,0.000676016556,1.22984729e-05,1.21108051e-05,7.02784746e-05,2.4547453e-06,7.00632663e-05,aluno13
13:40:04-aluno13-2017-06-19-13:40:14.png,0.0220727213,0.968136549,0.009459595,9.72181e-06,9.91764537e-05,0.000197243455,1.92642983e-05,5.72726958e-06,aluno13
13:40:06-aluno13-2017-06-19-13:40:44.png,0.0111266244,0.986453652,0.00212375983,1.23352322e-06,2.2916829e-05,0.000260325527,6.710494e-06,4.785604e-06,aluno13
13:40:08-aluno13-2017-06-19-13:40:42.png,0.008154023,0.9874794,0.00252070418,3.20060758e-06,3.82469225e-05,0.00171818421,5.32345548e-05,3.300879e-05,aluno13
13:40:10-aluno13-2017-06-19-13:42:17.png,0.0114288116,0.984608054,0.00317277061,2.57865327e-06,1.95202138e-05,0.000712466543,2.203689e-05,3.37466954e-05,aluno13
13:40:12-aluno13-2017-06-19-13:40:50.png,0.00295804255,0.996726036,0.00024063341,1.333193e-06,1.95835819e-05,5.08399535e-05,1.02922968e-06,2.477778e-06,aluno13
13:40:14-aluno13-2017-06-19-13:41:12.png,0.0160598736,0.9801068,6.70276859e-05,2.38821173e-07,3.68569658e-06,0.00359676755,2.59872359e-05,0.000139643875,aluno13
13:40:16-aluno13-2017-06-19-13:41:18.png,0.0222993884,0.9751726,0.000581157336,1.091118e-06,1.10114124e-05,0.00177686813,3.12217562e-05,0.000126656785,aluno13
13:40:18-aluno13-2017-06-19-13:41:38.png,0.004395622,0.989532948,0.00475878734,3.00534612e-06,3.49162146e-05,0.00123554084,1.42178269e-05,2.497411e-05,aluno13
13:40:20-aluno13-2017-06-19-13:40:55.png,0.004299294,0.956508338,8.47236661e-05,4.66558447e-07,5.1954753e-06,0.0389408246,5.8000438e-05,0.000103180253,aluno13
13:40:24-aluno13-2017-06-19-13:41:51.png,0.00175247027,0.9693223,0.0217996668,1.618328e-05,0.000110591383,0.006916166,3.55370175e-05,4.706202e-05,aluno13
13:40:26-aluno13-2017-06-19-13:41:18.png,0.00547119835,0.9884609,0.00584761333,7.992514e-06,7.396455e-05,0.00012723355,5.15928241e-06,5.92405468e-06,aluno13
13:40:28-aluno13-2017-06-19-13:41:01.png,0.007623267,0.978544533,0.013395464,1.8606248e-05,0.000139583732,0.00023620452,1.04749915e-05,3.189366e-05,aluno13
13:40:30-aluno13-2017-06-19-13:42:10.png,0.008751015,0.9871174,0.00153012213,3.73779e-06,3.924673e-05,0.002282438,3.513193e-05,0.00024088264,aluno13
13:40:32-aluno13-2017-06-19-13:41:10.png,0.0009536191,0.994004846,0.000536932261,1.07157039e-05,0.000146832521,0.00298772729,6.473311e-06,0.00135287875,aluno13
13:40:40-aluno13-2017-06-19-13:41:15.png,0.0009026109,0.976152062,0.000114140486,6.304675e-05,1.74244324e-05,0.0225447956,1.514143e-06,0.000204430093,aluno13
13:40:44-aluno13-2017-06-19-13:41:21.png,0.0218930133,0.9474248,0.000325056229,2.956525e-06,5.98738e-05,0.0296466816,0.000609108538,3.84782361e-05,aluno13
13:40:54-aluno13-2017-06-19-13:41:38.png,0.00500902534,0.993330956,0.0002368551,3.45003427e-05,9.997487e-05,0.0009893597,1.79494473e-05,0.000281364162,aluno13
13:40:56-aluno13-2017-06-19-13:41:41.png,0.000265809475,0.99951,0.00010788269,5.56438863e-07,2.07828566e-06,5.815105e-06,2.33670381e-08,0.000107845452,aluno13
13:40:58-aluno13-2017-06-19-13:42:53.png,0.00343337981,0.981970668,0.00309917447,0.0002038637,0.00101493613,0.0008163302,1.16416159e-05,0.009449979,aluno13
13:41:04-aluno13-2017-06-19-13:41:50.png,0.0056568156,0.9885101,8.543165e-05,2.49669768e-07,5.43362739e-06,0.005690677,6.28062844e-06,4.502782e-05,aluno13
13:41:06-aluno13-2017-06-19-13:41:54.png,0.002900168,0.995600343,0.0006815226,4.01666568e-07,7.20546268e-06,0.0006106415,4.40664462e-06,0.000195302331,aluno13
13:41:18-aluno13-2017-06-19-13:42:13.png,0.0034181783,0.936224163,0.05968995,1.58494568e-05,9.659393e-05,0.000203687465,8.594303e-06,0.0003429651,aluno13
13:42:18-aluno13-2017-06-19-13:43:24.png,0.013837819,0.984602332,0.0008973763,3.95267525e-05,2.46219115e-05,0.000183763987,8.128897e-06,0.00040641948,aluno13
13:42:24-aluno13-2017-06-19-13:43:30.png,0.0150038032,0.9482818,0.0006575459,3.13014584e-06,1.94827e-05,0.03498257,0.00032108085,0.0007305853,aluno13
13:43:56-aluno13-2017-06-19-13:45:59.png,0.009537375,0.989092052,0.0002219463,2.22614362e-05,1.85769732e-05,0.00103499531,1.57319482e-05,5.70345655e-05,aluno13
13:44:38-aluno13-2017-06-19-13:47:37.png,0.0288169757,0.969361246,0.000350359071,5.75411868e-05,0.0005245227,0.000734189758,3.09335737e-05,0.00012423101,aluno13
13:44:50-aluno13-2017-06-19-13:47:50.png,0.0261178631,0.9732941,0.000381964142,1.29033924e-05,9.558766e-06,0.000145693251,2.748837e-06,3.51732051e-05,aluno13
13:46:02-aluno13-2017-06-19-13:49:54.png,0.04274979,0.94855094,0.000313590543,1.882884e-05,8.28265547e-06,0.00806984,4.02893857e-05,0.000248432276,aluno13
13:47:04-aluno13-2017-06-19-13:51:25.png,0.028348539,0.9688277,0.0007260728,6.067462e-06,0.000232035381,0.00123558869,0.000593406439,3.055327e-05,aluno13
13:47:42-aluno13-2017-06-19-13:52:45.png,0.004082868,0.992399633,0.00217641657,1.20130908e-05,0.000188901729,0.00108711247,4.870497e-05,4.37187464e-06,aluno13
13:47:42-aluno13-2017-06-19-14:13:05.png,0.004082868,0.992399633,0.00217641657,1.20130908e-05,0.000188901729,0.00108711247,4.870497e-05,4.37187464e-06,aluno13
13:50:04-aluno13-2017-06-19-14:01:23.png,0.116741948,0.858492136,5.783724e-05,4.3457283e-05,6.616089e-05,0.0238567609,0.000646634435,9.508705e-05,aluno13
13:52:10-aluno13-2017-06-19-14:06:25.png,0.009318288,0.9844788,0.000818829751,0.000112427559,0.0008383741,0.00402166741,0.0003309419,8.06926837e-05,aluno13
13:53:46-aluno13-2017-06-19-14:09:40.png,0.00808605552,0.9877422,0.0004659318,4.037073e-05,0.000104553845,0.00320302183,5.077415e-05,0.000307085225,aluno13
13:54:20-aluno13-2017-06-19-14:10:27.png,0.0136819519,0.9430419,0.00408064434,3.62664941e-05,2.24913347e-05,0.000127832027,4.27070927e-06,0.0390046239,aluno13
13:54:22-aluno13-2017-06-19-14:10:41.png,0.00188563752,0.984525263,0.0006927287,3.55188831e-06,2.44022631e-05,0.00630323263,2.5380632e-05,0.00653981464,aluno13
13:54:24-aluno13-2017-06-19-14:10:29.png,0.009084965,0.9873663,0.000150925262,2.44064313e-06,1.20655077e-05,0.00174555962,7.19051741e-06,0.00163051055,aluno13
13:54:26-aluno13-2017-06-19-14:10:40.png,0.00286517479,0.9877678,0.000394517439,3.739746e-06,1.902147e-05,0.008081246,1.60181735e-05,0.000852493336,aluno13
13:54:28-aluno13-2017-06-19-14:10:48.png,0.00223625568,0.9915043,0.00113291608,2.85735837e-06,1.17525105e-05,0.00346349459,1.12891585e-05,0.00163710036,aluno13
13:54:30-aluno13-2017-06-19-14:10:57.png,0.00153724453,0.9635987,0.000627332134,4.31494664e-06,2.32537514e-05,0.03239442,3.31713745e-05,0.00178155885,aluno13
13:54:32-aluno13-2017-06-19-14:11:01.png,0.0044893655,0.964182138,0.000344309257,2.90118055e-06,2.0942236e-05,0.0303269681,5.10534774e-05,0.000582342444,aluno13
13:54:34-aluno13-2017-06-19-14:11:02.png,0.0058005685,0.9755438,0.00355299935,2.03093332e-05,3.959505e-05,0.0137264961,1.89906659e-05,0.00129723526,aluno13
13:54:36-aluno13-2017-06-19-14:11:01.png,0.003200965,0.967471957,0.00123918615,3.71970737e-06,3.36767662e-05,0.027605217,9.376656e-05,0.000351525552,aluno13
13:54:38-aluno13-2017-06-19-14:10:53.png,0.00432904949,0.980914831,0.0129822884,3.45109947e-05,0.000397393625,0.00119971472,1.80966053e-05,0.000124108075,aluno13
13:54:40-aluno13-2017-06-19-14:10:59.png,0.00483111,0.9484572,0.0449711829,4.822764e-05,0.0005045749,0.000772609841,2.19907015e-05,0.000393103546,aluno13
13:54:42-aluno13-2017-06-19-14:11:19.png,0.003445248,0.9824188,0.0127131036,2.30788937e-05,0.0003062063,0.000960766745,1.99790611e-05,0.000112816211,aluno13
13:54:44-aluno13-2017-06-19-14:11:05.png,0.005259332,0.93983686,0.0503599122,0.000139839482,0.000677845732,0.00348106283,1.45758195e-05,0.000230575242,aluno13
13:54:46-aluno13-2017-06-19-14:11:22.png,0.006035637,0.959818,0.0292362049,0.000131087116,0.000566788833,0.003908304,2.1492524e-05,0.000282486028,aluno13
13:54:48-aluno13-2017-06-19-14:11:23.png,0.00687256455,0.965244651,0.02135717,6.413104e-05,0.000191747546,0.00598953431,1.4127033e-05,0.000266072951,aluno13
13:54:50-aluno13-2017-06-19-14:11:12.png,0.004653338,0.9155546,0.06464763,0.000347367284,0.000930607144,0.0124307415,4.73490472e-05,0.00138838426,aluno13
13:54:52-aluno13-2017-06-19-14:11:11.png,0.00377799943,0.9669557,0.0264731813,4.95806526e-05,0.000279836851,0.00224996917,1.2641166e-05,0.000201057075,aluno13
13:54:54-aluno13-2017-06-19-14:11:19.png,0.00538287032,0.942575932,0.0323197432,0.000265493145,0.000625912857,0.0179315414,2.82000383e-05,0.0008702927,aluno13
13:54:56-aluno13-2017-06-19-14:11:26.png,0.003567433,0.9861654,0.00758167,1.484176e-05,0.000214961823,0.00236142171,3.006662e-05,6.419407e-05,aluno13
13:54:58-aluno13-2017-06-19-14:11:47.png,0.00700459862,0.9689328,0.02098755,2.59099961e-05,0.000180577335,0.00271076756,3.01370637e-05,0.000127649066,aluno13
13:55:00-aluno13-2017-06-19-14:11:48.png,0.005158039,0.984024,0.007689605,1.32053519e-05,0.000121654622,0.0028918914,3.47785972e-05,6.682724e-05,aluno13
13:55:02-aluno13-2017-06-19-14:11:49.png,0.0158156343,0.955991864,0.0200226214,9.470643e-05,0.0001785997,0.00590098975,2.632181e-05,0.00196929113,aluno13
13:55:04-aluno13-2017-06-19-14:11:33.png,0.0029112685,0.9849334,0.009724137,1.01522437e-05,0.000150158186,0.00216737832,1.50330043e-05,8.847065e-05,aluno13
13:55:06-aluno13-2017-06-19-14:11:55.png,0.00621845154,0.9784435,0.0133259939,1.2411203e-05,0.000108847526,0.00168164447,3.00572483e-05,0.000179079012,aluno13
13:55:08-aluno13-2017-06-19-14:11:40.png,0.00340495678,0.985088766,0.0104555888,1.06348189e-05,8.280308e-05,0.0009177506,5.47028549e-06,3.400261e-05,aluno13
13:55:10-aluno13-2017-06-19-14:11:51.png,0.003956128,0.9878806,0.00742808962,1.34797647e-05,0.000334930781,0.0003427577,4.180937e-06,3.98193879e-05,aluno13
13:55:24-aluno13-2017-06-19-14:12:51.png,0.01286712,0.955343664,0.000226457953,1.47183928e-05,0.0003869374,0.0305618122,0.000474860281,0.000124410552,aluno13
13:55:26-aluno13-2017-06-19-14:12:55.png,0.00217311876,0.993805051,0.00144714816,4.23041274e-06,3.843067e-05,0.00227721781,3.23868771e-05,0.000222438437,aluno13
13:55:28-aluno13-2017-06-19-14:13:04.png,0.00355796,0.993375838,0.000132045185,6.967073e-08,1.99004239e-06,0.00290412176,1.08627919e-05,1.70951444e-05,aluno13
13:55:30-aluno13-2017-06-19-14:13:13.png,0.004592028,0.987359345,0.000873466837,2.353782e-06,2.30973237e-05,0.006907626,1.82651456e-05,0.000223801311,aluno13
13:55:40-aluno13-2017-06-19-14:13:24.png,0.00270904484,0.9396688,0.00042552306,0.00136745954,0.002470314,0.0500474349,0.00278903753,0.0005224169,aluno13
13:55:42-aluno13-2017-06-19-14:13:12.png,0.0145921251,0.9850982,0.00029914637,9.915477e-07,3.55785187e-06,5.12334555e-06,5.75643853e-08,8.262945e-07,aluno13
13:55:44-aluno13-2017-06-19-14:13:17.png,0.0590418056,0.9406271,0.000282635039,5.907852e-06,3.98873954e-06,3.60531521e-05,7.719056e-07,1.743296e-06,aluno13
13:55:46-aluno13-2017-06-19-14:13:22.png,0.03078201,0.967969239,0.00104400585,2.21750543e-05,5.17668559e-05,9.198092e-05,6.056278e-06,3.27709167e-05,aluno13
13:55:48-aluno13-2017-06-19-14:13:51.png,0.00324774929,0.9965522,0.0001579885,3.86592973e-07,6.403503e-06,3.50516639e-05,9.800251e-08,8.165957e-08,aluno13
13:55:50-aluno13-2017-06-19-14:13:45.png,0.0261154249,0.972519457,4.6556328e-05,4.53779239e-06,0.00014304927,0.0008457888,0.000238987413,8.621526e-05,aluno13
13:55:52-aluno13-2017-06-19-14:13:54.png,0.0428250954,0.954625368,1.31067145e-05,3.05463436e-06,7.745993e-05,0.0007634435,4.041906e-05,0.00165207754,aluno13
13:55:54-aluno13-2017-06-19-14:13:53.png,0.00289878482,0.99642086,2.12699633e-05,5.591434e-07,1.837808e-05,0.0006201535,1.81043033e-05,1.88554225e-06,aluno13
13:55:56-aluno13-2017-06-19-14:13:48.png,0.06704497,0.9119233,0.0207274165,0.000104932187,0.000140736,4.503043e-05,1.27143278e-06,1.23408672e-05,aluno13
13:55:58-aluno13-2017-06-19-14:14:09.png,0.0117218886,0.9855855,0.002624502,1.00487623e-05,3.331794e-05,2.3547409e-05,2.2908695e-07,9.436927e-07,aluno13
13:56:00-aluno13-2017-06-19-14:13:58.png,0.006441558,0.990795732,0.00271741184,4.40786971e-06,1.903803e-05,2.040123e-05,1.38348824e-07,1.28921909e-06,aluno13
13:56:02-aluno13-2017-06-19-14:14:24.png,0.0169755556,0.9827762,0.000179840616,2.15659975e-06,1.46002258e-05,5.02962066e-05,1.04018159e-06,2.868966e-07,aluno13
13:56:04-aluno13-2017-06-19-14:14:20.png,0.09696934,0.9004213,0.002419269,2.330392e-05,1.93701781e-05,0.000140657285,2.47527646e-06,4.246542e-06,aluno13
13:56:06-aluno13-2017-06-19-14:14:18.png,0.0110666091,0.988599837,0.0003259498,4.149606e-07,4.615381e-06,2.287884e-06,1.54497872e-08,2.51302566e-07,aluno13
13:56:10-aluno13-2017-06-19-14:14:26.png,0.0118258353,0.987591,0.00054351287,1.27877263e-06,1.26120458e-05,2.5285326e-05,1.96538267e-07,2.594795e-07,aluno13
13:56:12-aluno13-2017-06-19-14:14:24.png,0.006476066,0.992638469,0.0008492353,1.07888991e-06,1.29264272e-05,2.19218018e-05,1.459122e-07,1.39617057e-07,aluno13
13:56:14-aluno13-2017-06-19-14:14:38.png,0.001726226,0.956445634,0.04090854,4.136126e-05,0.00017882137,4.273114e-05,3.54103264e-07,0.0006563259,aluno13
13:56:16-aluno13-2017-06-19-14:14:41.png,0.0006130742,0.9982579,0.00108330557,8.746031e-07,5.88790363e-06,6.30896e-06,3.462221e-08,3.266455e-05,aluno13
13:56:18-aluno13-2017-06-19-14:14:54.png,0.000596361,0.998929739,0.000461227784,1.8982881e-07,2.45323486e-06,1.03418643e-06,4.949806e-09,8.987092e-06,aluno13
13:56:20-aluno13-2017-06-19-14:14:35.png,0.00461727846,0.994976163,0.000401450583,2.19758775e-07,3.25194173e-06,1.43039665e-06,7.060659e-09,1.98368213e-07,aluno13
13:56:22-aluno13-2017-06-19-14:15:21.png,0.00286778877,0.99675107,0.00027401073,3.37283632e-06,5.717877e-06,9.140562e-05,6.054352e-07,6.02612954e-06,aluno13
13:56:24-aluno13-2017-06-19-14:14:38.png,0.0589014329,0.938345969,0.00270692678,2.48128913e-06,1.82891181e-05,2.26312641e-05,1.52335133e-06,7.522992e-07,aluno13
13:56:26-aluno13-2017-06-19-14:15:00.png,0.04618083,0.953514457,0.0002549922,7.11243558e-07,7.027164e-06,3.88242879e-05,1.685831e-06,1.47550429e-06,aluno13
13:56:28-aluno13-2017-06-19-14:15:24.png,0.0274987333,0.9722376,0.000249665638,2.96121442e-07,7.134492e-06,6.2876943e-06,1.87015246e-07,1.37292787e-07,aluno13
13:56:30-aluno13-2017-06-19-14:14:41.png,0.00708613172,0.991423249,0.0011555003,4.037142e-06,2.106562e-05,0.000243502989,4.056632e-06,6.247343e-05,aluno13
13:56:32-aluno13-2017-06-19-14:15:25.png,0.00405248068,0.995851159,8.71845e-05,1.29634529e-07,1.08694974e-06,7.645871e-06,5.459418e-08,2.58668052e-07,aluno13
13:56:34-aluno13-2017-06-19-14:14:43.png,0.00147909718,0.998415947,0.000100530837,6.198479e-08,6.049031e-07,3.506499e-06,1.82594544e-08,2.40984946e-07,aluno13
13:56:36-aluno13-2017-06-19-14:14:47.png,0.00330547616,0.9965999,9.08063739e-05,6.3734376e-08,7.608625e-07,2.90254366e-06,1.56258722e-08,4.62859653e-08,aluno13
13:56:38-aluno13-2017-06-19-14:15:19.png,0.006374161,0.9934783,0.000136410454,2.164653e-07,1.51587767e-06,9.080844e-06,1.22416665e-07,1.84139708e-07,aluno13
13:56:40-aluno13-2017-06-19-14:15:17.png,0.0192160867,0.9804729,0.000279378379,6.975925e-07,6.74919e-06,2.32183265e-05,6.66798655e-07,2.88600631e-07,aluno13
13:56:42-aluno13-2017-06-19-13:59:07.png,0.008547232,0.991183341,0.000238016146,5.62578236e-07,2.70197029e-06,2.72731668e-05,2.71180937e-07,6.20206833e-07,aluno13
13:56:44-aluno13-2017-06-19-13:58:57.png,0.020887332,0.978879035,0.000203781761,8.54046561e-07,3.359367e-06,2.514506e-05,2.626065e-07,2.49610622e-07,aluno13
13:56:46-aluno13-2017-06-19-14:00:51.png,0.0144189587,0.985427,0.0001238688,6.550256e-07,2.312005e-06,2.67292e-05,2.550783e-07,2.05886636e-07,aluno13
13:56:48-aluno13-2017-06-19-14:00:53.png,0.009510068,0.990177,0.0002753139,8.828401e-07,3.910653e-06,3.20775544e-05,3.75897173e-07,4.09365526e-07,aluno13
13:56:50-aluno13-2017-06-19-14:02:16.png,0.0701961741,0.929466367,0.000251562626,3.6286317e-06,4.692575e-06,7.56239e-05,1.32516016e-06,6.15464955e-07,aluno13
13:56:52-aluno13-2017-06-19-14:02:15.png,0.03393661,0.9654212,0.0005642436,5.454018e-06,1.131355e-05,4.821012e-05,1.70068517e-06,1.1277657e-05,aluno13
13:56:54-aluno13-2017-06-19-14:02:01.png,0.109826125,0.8897847,0.000341824576,3.68568817e-06,7.132033e-06,3.5208428e-05,9.414351e-07,3.834891e-07,aluno13
13:56:56-aluno13-2017-06-19-14:02:26.png,0.5870397,0.4117295,0.0009716265,5.10103064e-06,8.758221e-06,0.000207099409,3.480421e-05,3.35800155e-06,aluno13
